sno,time,tv_count,tp_count,target_circle
789.0,01:50.7,5.0,3.0,on/off road
791.0,01:51.1,5.0,3.0,on/off road
795.0,01:51.2,5.0,5.0,on/off road
796.0,01:54.2,5.0,5.0,on/off road
798.0,01:54.5,6.0,1.0,___
800.0,01:54.6,6.0,1.0,___
801.0,01:54.6,5.0,1.0,on/off road
803.0,01:54.7,5.0,1.0,on/off road
804.0,01:55.1,5.0,1.0,on/off road
805.0,01:55.3,5.0,1.0,on/off road
808.0,01:55.4,5.0,1.0,___
809.0,01:55.5,5.0,1.0,___
811.0,01:55.6,5.0,1.0,___
814.0,01:56.2,6.0,2.0,on/off road
815.0,01:59.1,6.0,2.0,on/off road
818.0,02:00.5,9.0,3.0,on/off road
819.0,02:01.1,9.0,3.0,on/off road
820.0,02:01.1,9.0,3.0,on/off road
824.0,02:01.2,9.0,3.0,on/off road
825.0,02:01.8,8.0,1.0,on/off road
826.0,02:01.8,8.0,1.0,on/off road
827.0,02:01.8,8.0,4.0,on/off road
828.0,02:01.9,8.0,4.0,on/off road
829.0,02:01.9,8.0,4.0,on/off road
830.0,02:01.9,8.0,4.0,on/off road
831.0,02:02.0,8.0,4.0,on/off road
834.0,02:02.1,7.0,5.0,on/off road
835.0,02:05.1,7.0,5.0,on/off road
838.0,02:07.7,4.0,0.0,on/off road
840.0,02:07.8,4.0,0.0,on/off road
841.0,02:07.8,4.0,0.0,on/off road
842.0,02:07.8,4.0,0.0,on/off road
846.0,02:10.4,8.0,1.0,on/off road
849.0,02:10.5,6.0,0.0,on/off road
850.0,02:13.2,6.0,0.0,on/off road
853.0,02:13.5,3.0,0.0,on/off road
855.0,02:14.1,5.0,1.0,on/off road
856.0,02:14.1,5.0,1.0,on/off road
859.0,02:14.2,5.0,1.0,vehicle
860.0,02:14.3,5.0,1.0,vehicle
861.0,02:14.4,5.0,1.0,vehicle
865.0,02:14.7,5.0,1.0,vehicle
867.0,02:14.8,5.0,1.0,vehicle
869.0,02:14.8,7.0,1.0,on/off road
870.0,02:15.6,7.0,1.0,on/off road
873.0,02:16.0,6.0,1.0,vehicle
875.0,02:16.9,6.0,1.0,vehicle
876.0,02:17.2,6.0,1.0,vehicle
878.0,02:17.2,5.0,0.0,vehicle
880.0,02:17.3,5.0,0.0,vehicle
881.0,02:17.3,5.0,0.0,vehicle
884.0,02:17.7,3.0,0.0,on/off road
885.0,02:17.8,3.0,0.0,on/off road
886.0,02:17.8,3.0,0.0,on/off road
889.0,02:17.8,4.0,0.0,vehicle
890.0,02:17.9,4.0,0.0,vehicle
891.0,02:17.9,4.0,0.0,vehicle
894.0,02:18.0,4.0,0.0,on/off road
896.0,02:18.0,4.0,0.0,on/off road
898.0,02:18.1,4.0,0.0,on/off road
900.0,02:18.1,4.0,0.0,on/off road
901.0,02:18.1,4.0,0.0,on/off road
902.0,02:18.1,4.0,0.0,on/off road
905.0,02:18.2,3.0,0.0,on/off road
906.0,02:18.2,3.0,0.0,on/off road
907.0,02:18.3,3.0,0.0,on/off road
909.0,02:18.3,3.0,0.0,on/off road
911.0,02:18.4,3.0,0.0,on/off road
914.0,02:18.7,4.0,0.0,on/off road
915.0,02:18.7,4.0,0.0,on/off road
916.0,02:18.8,4.0,0.0,on/off road
919.0,03:38.9,3.0,0.0,on/off road
921.0,02:18.9,3.0,0.0,on/off road
924.0,02:19.0,4.0,0.0,on/off road
925.0,02:19.2,4.0,0.0,on/off road
929.0,02:19.2,5.0,0.0,on/off road
930.0,02:19.3,5.0,0.0,on/off road
931.0,02:19.4,5.0,0.0,on/off road
933.0,02:19.4,5.0,0.0,on/off road
935.0,02:20.1,3.0,0.0,on/off road
936.0,02:21.0,3.0,0.0,on/off road
937.0,02:21.0,3.0,0.0,on/off road
938.0,02:21.1,3.0,0.0,on/off road
939.0,02:21.1,3.0,0.0,on/off road
943.0,02:21.2,3.0,0.0,vehicle
944.0,02:21.2,3.0,0.0,vehicle
945.0,02:21.3,3.0,0.0,vehicle
948.0,02:21.3,4.0,0.0,___
949.0,02:21.6,4.0,0.0,___
953.0,02:22.0,3.0,0.0,on/off road
954.0,02:22.0,3.0,0.0,on/off road
955.0,02:22.1,3.0,0.0,vehicle
957.0,02:22.1,3.0,0.0,vehicle
958.0,02:22.1,3.0,0.0,vehicle
961.0,02:22.2,3.0,0.0,vehicle
962.0,02:22.2,3.0,0.0,vehicle
965.0,02:22.3,4.0,0.0,vehicle
966.0,02:22.3,4.0,0.0,vehicle
968.0,02:22.4,6.0,0.0,vehicle
969.0,02:22.4,6.0,0.0,vehicle
970.0,02:22.4,6.0,0.0,vehicle
972.0,02:22.5,6.0,0.0,vehicle
973.0,02:22.5,6.0,0.0,vehicle
974.0,02:22.6,6.0,0.0,vehicle
977.0,02:22.7,6.0,0.0,vehicle
978.0,02:22.7,6.0,0.0,vehicle
979.0,02:22.8,6.0,0.0,vehicle
983.0,02:22.9,5.0,2.0,vehicle
984.0,02:22.9,5.0,2.0,vehicle
987.0,02:23.0,5.0,0.0,vehicle
988.0,02:23.0,5.0,0.0,vehicle
990.0,02:23.0,5.0,0.0,vehicle
992.0,02:23.1,6.0,0.0,vehicle
993.0,02:23.1,6.0,0.0,vehicle
997.0,02:23.2,6.0,0.0,vehicle
998.0,02:23.2,7.0,0.0,vehicle
1001.0,02:23.8,6.0,0.0,on/off road
1002.0,02:23.8,6.0,0.0,on/off road
1003.0,02:23.8,7.0,0.0,on/off road
1006.0,02:24.2,5.0,0.0,vehicle
1007.0,02:24.2,5.0,0.0,vehicle
1008.0,02:24.2,5.0,0.0,vehicle
1013.0,02:24.4,4.0,0.0,vehicle
1016.0,02:24.5,4.0,0.0,vehicle
1017.0,02:24.6,4.0,0.0,vehicle
1021.0,02:24.7,4.0,0.0,vehicle
1022.0,02:24.7,4.0,0.0,vehicle
1024.0,02:24.8,6.0,0.0,on/off road
1025.0,02:24.9,6.0,0.0,on/off road
1027.0,02:25.0,6.0,0.0,on/off road
1030.0,02:25.2,3.0,0.0,on/off road
1031.0,02:25.3,3.0,0.0,on/off road
1032.0,02:25.4,3.0,0.0,on/off road
1035.0,02:25.4,4.0,0.0,on/off road
1036.0,02:25.6,4.0,0.0,on/off road
1037.0,02:28.0,4.0,0.0,on/off road
1040.0,02:28.6,4.0,0.0,on/off road
1041.0,02:28.6,4.0,0.0,on/off road
1045.0,02:28.7,6.0,0.0,on/off road
1046.0,02:28.7,6.0,0.0,on/off road
1051.0,02:29.5,5.0,0.0,on/off road
1054.0,02:29.6,5.0,1.0,on/off road
1055.0,02:29.6,5.0,1.0,on/off road
1057.0,02:29.7,5.0,0.0,on/off road
1058.0,02:31.5,5.0,0.0,on/off road
1061.0,02:31.5,3.0,1.0,on/off road
1063.0,02:31.6,3.0,1.0,on/off road
1064.0,02:31.6,3.0,1.0,on/off road
1065.0,02:31.7,5.0,0.0,on/off road
1066.0,02:31.9,5.0,0.0,on/off road
1067.0,02:31.9,5.0,0.0,on/off road
1068.0,02:32.2,5.0,0.0,on/off road
1072.0,02:34.8,4.0,0.0,on/off road
1073.0,02:34.8,4.0,0.0,on/off road
1075.0,02:36.3,3.0,2.0,on/off road
1076.0,03:56.8,3.0,2.0,on/off road
1077.0,03:57.8,3.0,2.0,on/off road
1080.0,02:39.4,1.0,1.0,on/off road
1081.0,02:39.5,1.0,1.0,on/off road
1082.0,02:39.5,1.0,1.0,on/off road
1086.0,02:39.7,3.0,0.0,on/off road
1087.0,02:39.9,3.0,0.0,on/off road
1088.0,02:39.9,3.0,0.0,on/off road
1089.0,02:40.7,3.0,0.0,on/off road
1092.0,02:40.9,4.0,0.0,on/off road
1093.0,02:41.1,4.0,0.0,on/off road
1096.0,02:41.4,3.0,0.0,on/off road
1097.0,02:41.5,4.0,0.0,on/off road
1098.0,02:43.8,4.0,0.0,on/off road
1101.0,02:43.9,4.0,0.0,on/off road
1102.0,02:44.0,4.0,0.0,on/off road
1104.0,02:44.0,4.0,0.0,on/off road
1105.0,02:44.0,4.0,0.0,on/off road
1106.0,02:44.0,4.0,0.0,on/off road
1107.0,02:44.1,4.0,0.0,on/off road
1109.0,02:44.1,5.0,0.0,on/off road
1110.0,02:44.2,5.0,0.0,on/off road
1114.0,02:44.4,4.0,0.0,on/off road
1116.0,02:44.4,4.0,0.0,on/off road
1117.0,02:44.5,3.0,0.0,on/off road
1119.0,02:44.6,4.0,0.0,vehicle
1120.0,02:45.0,4.0,0.0,vehicle
1122.0,02:45.6,4.0,0.0,vehicle
1125.0,02:46.3,5.0,0.0,on/off road
1126.0,02:46.3,5.0,0.0,on/off road
1129.0,02:46.5,4.0,0.0,on/off road
1131.0,02:47.4,4.0,0.0,on/off road
1132.0,02:47.5,4.0,0.0,on/off road
1134.0,02:47.5,3.0,0.0,vehicle
1135.0,02:47.9,3.0,0.0,vehicle
1138.0,02:48.1,4.0,2.0,on/off road
1140.0,02:48.1,4.0,2.0,on/off road
1143.0,02:48.3,4.0,0.0,on/off road
1144.0,02:48.3,4.0,0.0,on/off road
1145.0,02:48.3,4.0,0.0,on/off road
1147.0,02:49.0,4.0,3.0,on/off road
1148.0,02:49.6,4.0,3.0,on/off road
1149.0,02:49.6,4.0,3.0,on/off road
1153.0,02:49.8,3.0,0.0,on/off road
1154.0,02:50.1,3.0,0.0,on/off road
1155.0,02:50.1,3.0,0.0,on/off road
1158.0,02:50.4,3.0,0.0,on/off road
1159.0,02:51.3,3.0,0.0,on/off road
1160.0,02:51.4,3.0,0.0,on/off road
1163.0,02:52.6,2.0,0.0,on/off road
1164.0,02:54.9,2.0,0.0,on/off road
1167.0,02:55.0,3.0,0.0,on/off road
1168.0,02:56.6,3.0,0.0,on/off road
1169.0,00:02-56.575,3.0,0.0,on/off road
1170.0,02:56.8,4.0,0.0,vehicle
