0,1,2,3,4
1330,00:00:26.004,3,1,on/off road
1331,00:00:26.084,3,1,on/off road
1333,00:00:26.144,3,1,on/off road
1334,00:00:26.164,3,1,on/off road
1336,00:00:26.184,3,1,on/off road
1337,00:00:26.224,3,1,on/off road
1338,00:00:26.244,3,1,on/off road
1339,00:00:26.284,3,1,on/off road
1343,00:00:26.384,3,1,on/off road
1346,00:00:26.424,4,1,on/off road
1347,00:00:26.484,4,1,on/off road
1350,00:00:26.524,4,1,on/off road
1351,00:00:26.544,4,1,on/off road
1353,00:00:26.584,4,1,on/off road
1355,00:00:26.604,4,1,on/off road
1356,00:00:26.664,4,1,on/off road
1357,00:00:26.684,4,1,on/off road
1359,00:00:26.744,5,1,on/off road
1361,00:00:26.784,5,1,on/off road
1364,00:00:26.824,3,1,on/off road
1365,00:00:26.864,3,1,on/off road
1366,00:00:26.883,3,1,on/off road
1370,00:00:26.923,2,1,on/off road
1371,00:00:26.983,2,1,on/off road
1374,00:00:27.043,3,1,on/off road
1375,00:00:27.063,3,1,on/off road
1377,00:00:27.083,3,1,on/off road
1379,00:00:27.163,3,0,on/off road
1380,00:00:27.183,3,0,on/off road
1383,00:00:27.223,4,0,on/off road
1384,00:00:27.263,4,0,on/off road
1385,00:00:27.283,4,0,on/off road
1388,00:00:27.343,4,0,on/off road
1389,00:00:27.363,4,0,on/off road
1391,00:00:27.383,4,0,on/off road
1394,00:00:27.443,4,0,on/off road
1395,00:00:27.463,4,0,on/off road
1396,00:00:27.483,4,0,on/off road
1400,00:00:27.543,4,0,on/off road
1401,00:00:27.563,4,0,on/off road
